region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
AFR,Africa,MDG,Madagascar,2019,Female,FMLE,66.6
EMR,Eastern Mediterranean,YEM,Yemen,2019,Both sexes,BTSX,66.63
AFR,Africa,UGA,Uganda,2019,Both sexes,BTSX,66.69
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Female,FMLE,66.72
AFR,Africa,SEN,Senegal,2019,Male,MLE,66.82
AFR,Africa,RWA,Rwanda,2019,Male,MLE,66.88
AFR,Africa,ETH,Ethiopia,2019,Male,MLE,66.9
AFR,Africa,ERI,Eritrea,2019,Female,FMLE,67.07
WPR,Western Pacific,KHM,Cambodia,2019,Male,MLE,67.23
AFR,Africa,TGO,Togo,2019,Female,FMLE,67.23
AFR,Africa,TZA,United Republic of Tanzania,2019,Both sexes,BTSX,67.34
WPR,Western Pacific,PNG,Papua New Guinea,2019,Female,FMLE,67.36
AFR,Africa,COM,Comoros,2019,Both sexes,BTSX,67.39
WPR,Western Pacific,PHL,Philippines,2019,Male,MLE,67.4
EMR,Eastern Mediterranean,SDN,Sudan,2019,Male,MLE,67.55
EUR,Europe,TJK,Tajikistan,2019,Male,MLE,67.58
AFR,Africa,GMB,Gambia,2019,Female,FMLE,67.65
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Female,FMLE,67.78
WPR,Western Pacific,SLB,Solomon Islands,2019,Female,FMLE,67.87
SEAR,South-East Asia,TLS,Timor-Leste,2019,Male,MLE,67.93
EUR,Europe,UKR,Ukraine,2019,Male,MLE,68
WPR,Western Pacific,FJI,Fiji,2019,Both sexes,BTSX,68.01
AFR,Africa,MRT,Mauritania,2019,Male,MLE,68.08
WPR,Western Pacific,MNG,Mongolia,2019,Both sexes,BTSX,68.1
EUR,Europe,RUS,Russian Federation,2019,Male,MLE,68.18
AFR,Africa,ZAF,South Africa,2019,Female,FMLE,68.29
WPR,Western Pacific,VUT,Vanuatu,2019,Female,FMLE,68.32
AFR,Africa,MRT,Mauritania,2019,Both sexes,BTSX,68.38
AFR,Africa,KEN,Kenya,2019,Female,FMLE,68.44
AFR,Africa,NAM,Namibia,2019,Female,FMLE,68.45
AMR,Americas,SUR,Suriname,2019,Male,MLE,68.5
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Both sexes,BTSX,68.51
AFR,Africa,SEN,Senegal,2019,Both sexes,BTSX,68.58
AFR,Africa,ETH,Ethiopia,2019,Both sexes,BTSX,68.7
AFR,Africa,MRT,Mauritania,2019,Female,FMLE,68.73
EUR,Europe,AZE,Azerbaijan,2019,Male,MLE,68.78
EUR,Europe,GEO,Georgia,2019,Male,MLE,68.79
AFR,Africa,STP,Sao Tome and Principe,2019,Male,MLE,68.79
AFR,Africa,COM,Comoros,2019,Female,FMLE,68.88
SEAR,South-East Asia,NPL,Nepal,2019,Male,MLE,68.88
EMR,Eastern Mediterranean,YEM,Yemen,2019,Female,FMLE,68.92
AFR,Africa,MWI,Malawi,2019,Female,FMLE,68.93
