IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,93.42,,,,,,93.42,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,MEX,Mexico,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,93.89,,,,,,93.89,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,93.92,,,,,,93.92,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,94.36,,,,,,94.36,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,CAN,Canada,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,94.52,,,,,,94.52,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,94.58,,,,,,94.58,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,95.42,,,,,,95.42,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,96.99,,,,,,96.99,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,97.4,,,,,,97.4,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,97.42,,,,,,97.42,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,FRA,France,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,97.51,,,,,,97.51,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,NLD,Netherlands,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,98.38,,,,,,98.38,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,99.45,,,,,,99.45,,,EN,2023-04-19T12:00:00.000Z
